sender_id,recipient_id,amount,date
1,2,20,2022-02-01
3,5,15,2022-02-02
7,10,50,2022-02-03
9,14,10,2022-02-04
12,18,30,2022-02-05
16,6,25,2022-02-06
19,8,35,2022-02-07
4,13,40,2022-02-08
17,11,20,2022-02-09
15,20,15,2022-02-10
2,9,10,2022-02-11
6,3,30,2022-02-12
10,16,45,2022-02-13
13,19,25,2022-02-14
5,7,20,2022-02-15
11,4,15,2022-02-16
14,17,40,2022-02-17
18,12,30,2022-02-18
8,1,25,2022-02-19
20,15,35,2022-02-20
3,6,15,2022-02-21
7,10,50,2022-02-22
9,13,10,2022-02-23
12,18,30,2022-02-24
16,2,25,2022-02-25
19,8,35,2022-02-26
4,14,40,2022-02-27
17,11,20,2022-02-28
15,20,15,2022-03-01
2,9,10,2022-03-02
6,3,30,2022-03-03
10,16,45,2022-03-04
